Grapheme	IPA	CV	FREQ
^t	t	C	0
³³$	³³	T	0
⁴⁴$	⁴⁴	T	0
⁵⁵$	⁵⁵	T	0
ts	ts	CC	0
^ts	ts	CC	0
²¹$	²¹	T	0
³¹$	³¹	T	0
⁴²$	⁴²	T	0
^k	k	C	0
^s	s	C	0
sɿ	s ɿ	CV	0
^p	p	C	0
³⁵$	³⁵	T	0
tɕ	tɕ	CC	0
^tɕ	tɕ	CC	0
a⁴⁴	a ⁴⁴	VT	0
^m	m	C	0
ɕi	ɕ i	CV	0
tsʰ	tsʰ	CC	0
^tsʰ	tsʰ	CC	0
^j	j	C	0
a⁵⁵	a ⁵⁵	VT	0
^x	x	C	0
ua	w a	VV	0
^ɕ	ɕ	C	0
ɿ³³	ɿ ³³	VT	0
tɕʰ	tɕʰ	CC	0
^tɕʰ	tɕʰ	CC	0
u³³	u ³³	VT	0
i⁴⁴	i ⁴⁴	VT	0
i⁵⁵	i ⁵⁵	VT	0
ɛ⁴⁴	ɛ ⁴⁴	VT	0
tɯ	t ɯ	CV	0
ɯ²¹	ɯ ²¹	VT	0
^kʰ	kʰ	C	0
ku	k u	CV	0
⁵⁵t	⁵⁵ + t	TC	0
ɯ³¹	ɯ ³¹	VT	0
ou	ou	VV	0
ɯ³³	ɯ ³³	VT	0
ɯ⁵⁵	ɯ ⁵⁵	VT	0
⁴⁴t	⁴⁴ + t	TC	0
a⁴²	a ⁴²	VT	0
ɛ⁵⁵	ɛ ⁵⁵	VT	0
^n	n	C	0
su	s u	CV	0
ɯ⁴⁴	ɯ ⁴⁴	VT	0
i³¹	i ³¹	VT	0
e⁴⁴	e ⁴⁴	VT	0
^w	w	C	0
ɤ³³	ɤ ³³	VT	0
ao	ao	VV	0
^a	a	V	0
^pʰ	pʰ	C	0
ɛ⁴²	ɛ ⁴²	VT	0
ɔ²¹	ɔ ²¹	VT	0
u³¹	u ³¹	VT	0
ɔ³¹	ɔ ³¹	VT	0
a³¹	a ³¹	VT	0
a³⁵	a ³⁵	VT	0
^ŋ	ŋ	C	0
³³t	³³ + t	TC	0
mi	m i	CV	0
u⁵⁵	u ⁵⁵	VT	0
i³³	i ³³	VT	0
ã⁵⁵	ã ⁵⁵	VT	0
pi	p i	CV	0
^l	l	C	0
e³³	e ³³	VT	0
sɯ	s ɯ	CV	0
se	s e	CV	0
ɔ³³	ɔ ³³	VT	0
kɯ	k ɯ	CV	0
³¹t	³¹ + t	TC	0
ɲi	ɲ i	CV	0
u²¹	u ²¹	VT	0
kʰu	kʰ u	CV	0
so	s o	CV	0
ta	t a	CV	0
ɿ⁵⁵	ɿ ⁵⁵	VT	0
^ɲ	ɲ	C	0
i³⁵	i ³⁵	VT	0
i²¹	i ²¹	VT	0
ɛ²¹	ɛ ²¹	VT	0
pa	p a	CV	0
ji	j i	CV	0
a²¹	a ²¹	VT	0
uɔ	w ɔ	VV	0
pe	p e	CV	0
o⁵⁵	o ⁵⁵	VT	0
ɕʰi	ɕʰ i	CV	0
e⁵⁵	e ⁵⁵	VT	0
²¹t	²¹ + t	TC	0
³⁵t	³⁵ + t	TC	0
o⁴⁴	o ⁴⁴	VT	0
mɛ	m ɛ	CV	0
o³¹	o ³¹	VT	0
ɔ³⁵	ɔ ³⁵	VT	0
kɛ	k ɛ	CV	0
sɔ	s ɔ	CV	0
ɤ⁴⁴	ɤ ⁴⁴	VT	0
ɛ³³	ɛ ³³	VT	0
e⁴²	e ⁴²	VT	0
ɯ⁴²	ɯ ⁴²	VT	0
na	n a	CV	0
ɔu	ɔu	VV	0
