ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Allophone,Context
Yunlong_0061-0069_n,Yunlong,0061-0069_n,ai,,,Allen2007,,(Chinese borrowings only)
Lanping_0061-006f_n,Lanping,0061-006f_n,ao,,,Allen2007,,
Luobenzhuo_0061-006f_n,Luobenzhuo,0061-006f_n,ao,,,Allen2007,,
Yunlong_0061-006f_n,Yunlong,0061-006f_n,ao,,,Allen2007,,
Lanping_0061-0303-006f_n,Lanping,0061-0303-006f_n,ão,,,Allen2007,,
Luobenzhuo_0061-0303-006f_n,Luobenzhuo,0061-0303-006f_n,ão,,,Allen2007,,
Eryuan_0069-0061_m-n,Eryuan,0069-0061_m-n,ia,,,Allen2007,,
Heqing_0069-0061_m-n,Heqing,0069-0061_m-n,ia,,,Allen2007,,
Jianchuan_0069-0061_m-n,Jianchuan,0069-0061_m-n,ia,,,Allen2007,,
Lanping_0069-0061_m-n,Lanping,0069-0061_m-n,ia,,,Allen2007,,
Qiliqiao_0069-0061_m-n,Qiliqiao,0069-0061_m-n,ia,,,Allen2007,,
Xiangyun_0069-0061_m-n,Xiangyun,0069-0061_m-n,ia,,,Allen2007,,
Yunlong_0069-0061_m-n,Yunlong,0069-0061_m-n,ia,,,Allen2007,,
Zhoucheng_0069-0061_m-n,Zhoucheng,0069-0061_m-n,ia,,,Allen2007,,
Heqing_0069-0061-0303_m-n,Heqing,0069-0061-0303_m-n,iã,,,Allen2007,,
Jianchuan_0069-0061-0303_m-n,Jianchuan,0069-0061-0303_m-n,iã,,,Allen2007,,
Lanping_0069-0061-0303_m-n,Lanping,0069-0061-0303_m-n,iã,,,Allen2007,,
Xiangyun_0069-0061-0303_m-n,Xiangyun,0069-0061-0303_m-n,iã,,,Allen2007,,
Eryuan_0069-025b_m-n,Eryuan,0069-025b_m-n,iɛ,,,Allen2007,,
Heqing_0069-025b_m-n,Heqing,0069-025b_m-n,iɛ,,,Allen2007,,
Jianchuan_0069-025b_m-n,Jianchuan,0069-025b_m-n,iɛ,,,Allen2007,,
Lanping_0069-025b_m-n,Lanping,0069-025b_m-n,iɛ,,,Allen2007,,
Luobenzhuo_0069-025b_m-n,Luobenzhuo,0069-025b_m-n,iɛ,,,Allen2007,,
Qiliqiao_0069-025b_m-n,Qiliqiao,0069-025b_m-n,iɛ,,,Allen2007,,
Xiangyun_0069-025b_m-n,Xiangyun,0069-025b_m-n,iɛ,,,Allen2007,,
Yunlong_0069-025b_m-n,Yunlong,0069-025b_m-n,iɛ,,,Allen2007,,
Zhoucheng_0069-025b_m-n,Zhoucheng,0069-025b_m-n,iɛ,,,Allen2007,,
Heqing_0069-025b-0303_m-n,Heqing,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Jianchuan_0069-025b-0303_m-n,Jianchuan,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Lanping_0069-025b-0303_m-n,Lanping,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Luobenzhuo_0069-025b-0303_m-n,Luobenzhuo,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Xiangyun_0069-025b-0303_m-n,Xiangyun,0069-025b-0303_m-n,iɛ̃,,,Allen2007,,
Qiliqiao_0069-0254_m-n,Qiliqiao,0069-0254_m-n,iɔ,,,Allen2007,,
